airport,flights,delayed,delay_min,delay_rate,avg_delay_min_per_arrival
ABQ,9988.0,2392.0,111121.0,0.2394873848618342,11.125450540648778
ALB,3129.0,857.0,43801.0,0.2738894215404283,13.998402045381912
AMA,2411.0,532.0,26249.0,0.22065532973869764,10.88718374118623
ATL,34317.0,7237.0,395937.0,0.21088673252323922,11.53763440860215
AUS,36371.0,7636.0,373838.0,0.20994748563415908,10.278463611118749
BDL,3839.0,1080.0,53655.0,0.2813232612659547,13.97629591039333
BHM,3736.0,970.0,49863.0,0.25963597430406854,13.346627408993577
BLI,1071.0,293.0,13705.0,0.2735760971055089,12.796451914098974
BNA,46605.0,8818.0,471259.0,0.18920716661302436,10.111769123484605
BOI,4337.0,1142.0,52058.0,0.2633156559833987,12.003228037814157
BOS,5916.0,1741.0,93035.0,0.2942866801893171,15.725997295469913
BUF,4223.0,1153.0,56952.0,0.27302865261662324,13.486147288657353
BUR,21498.0,4390.0,207114.0,0.20420504232951903,9.634105498185878
BWI,67914.0,13401.0,728000.0,0.19732308507818713,10.719439290867863
BZN,1991.0,560.0,27277.0,0.2812656956303365,13.70015067805123
CHS,3441.0,836.0,42167.0,0.24295263004940423,12.254286544609124
CLE,4863.0,1238.0,59389.0,0.2545753650010282,12.212420316676948
CLT,3013.0,753.0,37791.0,0.24991702621971457,12.542648523066712
CMH,11353.0,2817.0,148082.0,0.2481282480401656,13.043424645468159
COS,4783.0,1214.0,62762.0,0.2538155969057077,13.121890027179594
CRP,1317.0,206.0,9825.0,0.15641609719058466,7.460136674259681
CVG,2516.0,670.0,32684.0,0.26629570747217807,12.990461049284578
DAL,69849.0,14296.0,776423.0,0.20467007401680767,11.115735372016779
DCA,15891.0,3449.0,174539.0,0.2170410924422629,10.983512680133408
DEN,92612.0,20716.0,1141852.0,0.22368591543212543,12.329417354122576
DSM,1659.0,502.0,26761.0,0.3025919228450874,16.130801687763714
DTW,3792.0,1073.0,51065.0,0.2829641350210971,13.466508438818565
ECP,2570.0,602.0,28914.0,0.23424124513618677,11.25058365758755
ELP,8600.0,1959.0,93428.0,0.22779069767441862,10.863720930232558
EUG,1765.0,395.0,17597.0,0.2237960339943343,9.969971671388102
FAT,1418.0,445.0,21129.0,0.3138222849083216,14.900564174894217
FLL,16149.0,4075.0,223157.0,0.25233760604371785,13.818626540343056
GEG,3791.0,954.0,44141.0,0.25164864151938804,11.643629649169085
GRR,1688.0,451.0,22714.0,0.2671800947867299,13.456161137440759
GSP,1181.0,292.0,13759.0,0.2472480948348857,11.650296359017782
HDN,642.0,135.0,6841.0,0.2102803738317757,10.65576323987539
HNL,14436.0,2604.0,120692.0,0.18038237738985868,8.360487669714603
HOU,49177.0,9857.0,526621.0,0.20043922972121114,10.708684954348577
HRL,2214.0,429.0,21111.0,0.1937669376693767,9.535230352303524
IAD,1940.0,422.0,19783.0,0.2175257731958763,10.197422680412371
IAH,6364.0,1369.0,72846.0,0.21511627906976744,11.446574481458203
ICT,1702.0,464.0,23751.0,0.27262044653349,13.95475910693302
IND,10109.0,2631.0,138495.0,0.2602631318626966,13.70016816697992
ISP,2677.0,671.0,33195.0,0.25065371684721705,12.400074710496824
ITO,1820.0,308.0,14422.0,0.16923076923076924,7.9241758241758244
JAN,2448.0,535.0,28454.0,0.21854575163398693,11.623366013071895
JAX,3939.0,989.0,48619.0,0.25107895404925107,12.342980451891343
