year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_rate,cancellation_rate,avg_delay_time,carrier_ct_rate,weather_ct_rate,nas_ct_rate,security_ct_rate,late_aircraft_ct_rate,season,year_month,airport_size
2015,8,WN,Southwest Airlines Co.,ECP,"Panama City, FL: Northwest Florida Beaches International",173.0,33.0,12.88,0.66,6.99,0.0,12.47,0.0,0.0,2399.0,943.0,84.0,215.0,0.0,1157.0,0.1907514450867052,0.0,71.11433172302738,0.07445086705202313,0.0038150289017341043,0.04040462427745665,0.0,0.07208092485549134,Summer,2015-08-01,Small
2015,8,WN,Southwest Airlines Co.,ELP,"El Paso, TX: El Paso International",596.0,133.0,48.68,2.2,8.93,0.0,73.19,4.0,3.0,7719.0,2671.0,101.0,316.0,0.0,4631.0,0.2231543624161074,0.006711409395973154,58.037593984962406,0.08167785234899329,0.0036912751677852353,0.014983221476510067,0.0,0.12280201342281878,Summer,2015-08-01,Medium
2015,8,WN,Southwest Airlines Co.,EWR,"Newark, NJ: Newark Liberty International",511.0,117.0,43.43,9.24,24.33,0.0,40.0,3.0,2.0,8413.0,3082.0,1077.0,1589.0,0.0,2665.0,0.22896281800391388,0.005870841487279843,71.11433172302738,0.08499021526418786,0.01808219178082192,0.04761252446183953,0.0,0.07827788649706457,Summer,2015-08-01,Medium
2015,8,WN,Southwest Airlines Co.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1373.0,312.0,105.37,16.4,73.27,0.0,116.95,9.0,2.0,17482.0,5872.0,1313.0,2985.0,0.0,7312.0,0.22723962126729788,0.0065549890750182084,56.032051282051285,0.07674435542607429,0.011944646758922067,0.05336489439184268,0.0,0.08517844136926439,Summer,2015-08-01,Large
2015,8,WN,Southwest Airlines Co.,FNT,"Flint, MI: Bishop International",121.0,39.0,15.71,0.73,4.99,0.0,17.58,2.0,1.0,2611.0,1087.0,59.0,279.0,0.0,1186.0,0.32231404958677684,0.01652892561983471,66.94871794871794,0.12983471074380165,0.0060330578512396696,0.04123966942148761,0.0,0.1452892561983471,Summer,2015-08-01,Small
2015,8,WN,Southwest Airlines Co.,GEG,"Spokane, WA: Spokane International",275.0,55.0,28.58,0.0,1.47,0.0,24.95,1.0,0.0,2779.0,1388.0,0.0,50.0,0.0,1341.0,0.2,0.0036363636363636364,50.527272727272724,0.10392727272727272,0.0,0.005345454545454546,0.0,0.09072727272727273,Summer,2015-08-01,Medium
2015,8,WN,Southwest Airlines Co.,GRR,"Grand Rapids, MI: Gerald R. Ford International",134.0,33.0,12.76,1.33,3.88,0.0,15.03,1.0,0.0,2410.0,909.0,176.0,175.0,0.0,1150.0,0.2462686567164179,0.007462686567164179,71.11433172302738,0.09522388059701492,0.009925373134328359,0.028955223880597014,0.0,0.11216417910447761,Summer,2015-08-01,Small
2015,8,WN,Southwest Airlines Co.,GSP,"Greer, SC: Greenville-Spartanburg International",119.0,30.0,15.57,0.0,2.61,0.0,11.82,2.0,0.0,1467.0,619.0,0.0,300.0,0.0,548.0,0.25210084033613445,0.01680672268907563,48.9,0.13084033613445378,0.0,0.021932773109243697,0.0,0.09932773109243698,Summer,2015-08-01,Small
2015,8,WN,Southwest Airlines Co.,HOU,"Houston, TX: William P Hobby",2894.5,776.0,207.85,58.82,150.76,0.0,358.57,55.0,59.0,29438.0,12388.0,4622.0,7067.0,0.0,22893.0,0.17465676344812064,0.012379023182534324,60.52835051546392,0.046781453972541076,0.013238802610848525,0.03393202790907045,0.0,0.08070447895566059,Summer,2015-08-01,Large
2015,8,WN,Southwest Airlines Co.,HRL,"Harlingen/San Benito, TX: Valley International",173.0,34.0,13.66,1.81,3.93,0.0,14.6,2.0,1.0,1751.0,459.0,188.0,226.0,0.0,878.0,0.19653179190751446,0.011560693641618497,51.5,0.07895953757225434,0.01046242774566474,0.02271676300578035,0.0,0.08439306358381503,Summer,2015-08-01,Small
2015,8,WN,Southwest Airlines Co.,IAD,"Washington, DC: Washington Dulles International",212.0,42.0,19.35,0.62,7.38,0.0,14.65,4.0,0.0,2799.0,1207.0,98.0,470.0,0.0,1024.0,0.19811320754716982,0.018867924528301886,66.64285714285714,0.09127358490566038,0.0029245283018867925,0.03481132075471698,0.0,0.06910377358490566,Summer,2015-08-01,Small
